Date,State,District,Disease,Cases,Deaths
2022-05-29,Uttarakhand,Udhamsingh Nagar,Acute Diarrheal Disease,10,0
2022-05-30,Haryana,Gurugram,Acute Diarrheal Disease,6,0
2022-05-30,Karnataka,Mysuru,Acute Diarrheal Disease,41,0
2022-05-30,Tamil Nadu,Kallakurichi,Acute Diarrheal Disease,40,0
2022-05-30,Tamil Nadu,Kallakurichi,Acute Diarrheal Disease,40,0
2022-05-30,Uttarakhand,Udham Singh Nagar,Acute Diarrheal Disease,39,0
2022-05-31,Andhra Pradesh,Nandyal,Food Poisoning,13,2
2022-05-31,Assam,Baksa,Acute Diarrheal Disease,15,0
2022-05-31,Jammu And Kashmir,Shopian,Chickenpox,14,0
2022-05-31,Karnataka,Bbmp,Cholera,169,1
2022-05-31,Madhya Pradesh,Morena,Acute Diarrheal Disease,4,0
2022-05-31,Madhya Pradesh,Narsinghpur,Acute Diarrheal Disease,136,2
2022-05-31,Maharashtra,Satara,Chikungunya,5,0
2022-05-31,Nagaland,Tuensang,Suspected Filariasis,21,0
2022-05-31,Odisha,Mayurbhanj,Acute Diarrheal Disease,73,0
2022-05-31,Tamil Nadu,Pudukkottai,Food Poisoning,17,0
2022-05-31,Tamil Nadu,Pudukkottai,Food Poisoning,28,0
2022-05-31,Uttar Pradesh,Siddharth Nagar,Acute Diarrheal Disease,30,1
2022-06-01,Karnataka,Kalaburagi,Acute Diarrheal Disease,16,0
2022-06-01,Karnataka,Vijayapura,Chikungunya,13,0
2022-06-01,Maharashtra,Nagpur,Acute Diarrheal Disease,41,0
2022-06-01,Mizoram,Aizawl,Leishmaniasis / Kala-Azar,1,0
2022-06-01,Uttar Pradesh,Lucknow,Chickenpox,5,0
2022-06-02,Chhattisgarh,Janjgir- Champa,Food Poisoning,53,0
2022-06-02,Kerala,Kasaragod,Food Poisoning,22,0
2022-06-02,Odisha,Boudh,Food Poisoning,10,0
2022-06-03,Assam,Bongaigaon,Food Poisoning,19,0
2022-06-03,Assam,Sonitpur,Dengue,2,0
2022-06-03,Chhattisgarh,Balod,Food Poisoning,3,1
2022-06-03,Maharashtra,Satara,Chikungunya,5,0
2022-06-03,Tamil Nadu,Dharmapuri,Acute Diarrheal Disease,24,0
2022-06-03,Tamil Nadu,Dharmapuri,Acute Diarrheal Disease,26,0
