origin_district,origin_state,origin_lat,origin_lon,dest_district,dest_state,dest_lat,dest_lon
Sivaganga,Tamil Nadu,9.907016772518048,78.57595932715225,Virudhunagar,Tamil Nadu,9.480564065318337,77.89435615866469
Thanjavur,Tamil Nadu,10.65524982779382,79.2235906361112,Tiruchchirappalli,Tamil Nadu,10.876685258615895,78.55491393792526
Theni,Tamil Nadu,9.880751439386067,77.42393232021155,Virudhunagar,Tamil Nadu,9.480564065318337,77.89435615866469
Thiruvallur,Tamil Nadu,13.23032852238684,79.92518938442433,Vellore,Tamil Nadu,12.800637803865245,78.99814820456407
Tirunelveli Kattabo,Tamil Nadu,8.790112729709463,77.52306433596928,Virudhunagar,Tamil Nadu,9.480564065318337,77.89435615866469
Tiruvannamalai,Tamil Nadu,12.418655269773646,79.15445865404303,Vellore,Tamil Nadu,12.800637803865245,78.99814820456407
Dhalai,Tripura,23.85037003606798,91.92825112916228,North Tripura,Tripura,24.133618858655026,92.15361894944527
Dhalai,Tripura,23.85037003606798,91.92825112916228,South Tripura,Tripura,23.370873444419733,91.61186157226858
Dhalai,Tripura,23.85037003606798,91.92825112916228,West Tripura,Tripura,23.80433933856439,91.46499943360566
South Tripura,Tripura,23.370873444419733,91.61186157226858,West Tripura,Tripura,23.80433933856439,91.46499943360566
Agra,Uttar Pradesh,27.007505137477764,78.06292449172209,Etawah,Uttar Pradesh,26.7895429125904,79.08139024029637
Agra,Uttar Pradesh,27.007505137477764,78.06292449172209,Firozabad,Uttar Pradesh,27.206010033686844,78.45673911905894
Aligarh,Uttar Pradesh,27.926165555674057,78.07718213606547,Badaun,Uttar Pradesh,28.121359415303893,78.93494366559806
Aligarh,Uttar Pradesh,27.926165555674057,78.07718213606547,Bulandshahr,Uttar Pradesh,28.366702285525555,77.99918677657077
Aligarh,Uttar Pradesh,27.926165555674057,78.07718213606547,Etah,Uttar Pradesh,27.634628517387437,78.7615879835686
Aligarh,Uttar Pradesh,27.926165555674057,78.07718213606547,Gautam Buddha Nagar,Uttar Pradesh,28.39576484665022,77.53741377947765
Aligarh,Uttar Pradesh,27.926165555674057,78.07718213606547,Mathura,Uttar Pradesh,27.60062115372789,77.62079786926368
Allahabad,Uttar Pradesh,25.299888574258187,81.96480868683729,Chitrakoot,Uttar Pradesh,25.20893582513079,81.08126404645769
Allahabad,Uttar Pradesh,25.299888574258187,81.96480868683729,Jaunpur,Uttar Pradesh,25.749178198859855,82.56705604641478
Allahabad,Uttar Pradesh,25.299888574258187,81.96480868683729,Kaushambi,Uttar Pradesh,25.49152065981116,81.4589687986993
